href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=256,mandarin1,female,"[u'shanxi,', u'china']","mandarin
(cmn)",[u'none'],"[u'26,', u'female', u'']",13.0,academic,[u'usa'],2.0,  26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=257,mandarin2,female,"[u'nanjing,', u'china']","mandarin
(cmn)","[u'japanese', u'']","[u'38,', u'female', u'']",14.0,academic,[u'usa'],0.8,  38
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=258,mandarin3,male,"[u'jilin,', u'china']","mandarin
(cmn)","[u'italian', u'german', u'french', u'']","[u'43,', u'male', u'']",10.0,academic,[u'usa'],14.0,  43
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=259,mandarin4,female,"[u'shanghai,', u'china']","mandarin
(cmn)","[u'japanese', u'']","[u'24,', u'female', u'']",6.0,academic,[u'usa'],1.0,  24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=260,mandarin5,female,"[u'beijing,', u'china']","mandarin
(cmn)",[u'none'],"[u'31,', u'female', u'']",12.0,academic,[u'usa'],2.0,  31
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=261,mandarin6,female,"[u'sichuan,', u'china']","mandarin
(cmn)",[u'none'],"[u'28,', u'female', u'']",12.0,academic,[u'usa'],5.0,  28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=262,mandarin7,male,"[u'california,', u'usa']","mandarin
(cmn)","[u'mandarin', u'']","[u'22,', u'male', u'']",5.0,naturalistic,[u'usa'],22.0,  22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=430,mandarin8,male,"[u'hubei,', u'china']","mandarin
(cmn)",[u'none'],"[u'29,', u'male', u'']",12.0,academic,[u'usa'],5.0,  29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=451,mandarin9,male,"[u'shanghai,', u'china']","mandarin
(cmn)",[u'none'],"[u'38,', u'male', u'']",12.0,academic,[u'usa'],2.0,  38
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=491,mandarin10,male,"[u'beijing,', u'china']","mandarin
(cmn)",[u'none'],"[u'19,', u'male', u'']",3.0,academic,"[u'south', u'africa']",3.75,  19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=607,mandarin11,female,"[u'kao-hsiung,', u'taiwan']","mandarin
(cmn)","[u'cantonese', u'']","[u'53,', u'female', u'']",13.0,academic,[u'usa'],33.0,  53
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=623,mandarin12,male,"[u'singapore,', u'singapore']","mandarin
(cmn)","[u'cantonese', u'spanish', u'french', u'']","[u'23,', u'male', u'']",1.0,naturalistic,"[u'singapore,', u'uk']",23.0,  23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=685,mandarin13,male,"[u'nantou,', u'taiwan']","mandarin
(cmn)","[u'taiwanese', u'']","[u'29,', u'male', u'']",13.0,academic,[u''],0.0,  29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=719,mandarin14,male,"[u'liaoning,', u'china']","mandarin
(cmn)",[u'none'],"[u'49,', u'male', u'']",20.0,academic,[u'usa'],21.0,  49
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=746,mandarin15,female,"[u'tainan,', u'taiwan']","mandarin
(cmn)","[u'french', u'swedish', u'japanese', u'']","[u'28,', u'female', u'']",11.0,academic,"[u'new', u'zealand,', u'usa,', u'uk']",4.0,  28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=750,mandarin16,male,"[u'taipei,', u'taiwan']","mandarin
(cmn)","[u'taiwanese', u'japanese', u'']","[u'32,', u'male', u'']",10.0,academic,[u'usa'],1.35,  32
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=796,mandarin17,male,"[u'hubei,', u'china']","mandarin
(cmn)",[u'none'],"[u'26,', u'male', u'']",13.0,academic,[u'canada'],2.0,  26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=872,mandarin18,female,"[u'taoyuan,', u'taiwan']","mandarin
(cmn)","[u'hakka', u'']","[u'29,', u'female', u'']",13.0,academic,[u''],0.0,  29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=916,mandarin19,male,"[u'guangxi,', u'china']","mandarin
(cmn)",[u'none'],"[u'27,', u'male', u'']",13.0,academic,[u'australia'],0.33,  27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=931,mandarin20,female,"[u'tong,', u'taiwan']","mandarin
(cmn)","[u'russian', u'']","[u'40,', u'female', u'']",12.0,academic,[u'usa'],5.0,  40
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=984,mandarin21,female,"[u'sichuan,', u'china']","mandarin
(cmn)",[u'none'],"[u'38,', u'female', u'']",9.0,academic,[u'usa'],13.0,  38
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1019,mandarin22,female,"[u'hainan,', u'china']","mandarin
(cmn)","[u'cantonese', u'taiwanese', u'']","[u'39,', u'female', u'']",11.0,academic,[u'usa'],3.0,  39
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1044,mandarin23,female,"[u'kao-hsiung,', u'taiwan']","mandarin
(cmn)","[u'cantonese', u'taiwanese', u'']","[u'46,', u'female', u'']",13.0,academic,[u'usa'],22.0,  46
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1089,mandarin24,female,"[u'shanghai,', u'china']","mandarin
(cmn)",[u'none'],"[u'21,', u'female', u'']",10.0,academic,[u''],0.0,  21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1125,mandarin25,female,"[u'jiangsu,', u'china']","mandarin
(cmn)","[u'german', u'']","[u'28,', u'female', u'']",13.0,academic,[u'usa'],0.8,  28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1141,mandarin26,female,"[u'sichuan,', u'china']","mandarin
(cmn)",[u'none'],"[u'31,', u'female', u'']",12.0,academic,[u'usa'],3.0,  31
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1154,mandarin27,male,"[u'sichuan,', u'china']","mandarin
(cmn)",[u'none'],"[u'18,', u'male', u'']",15.0,academic,[u'usa'],3.0,  18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1447,mandarin28,male,"[u'shanghai,', u'china']","mandarin
(cmn)",[u'none'],"[u'45,', u'male', u'']",15.0,academic,[u'usa'],20.0,  45
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1490,mandarin29,male,"[u'gansu,', u'china']","mandarin
(cmn)",[u'none'],"[u'24,', u'male', u'']",4.0,academic,[u''],0.0,  24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1491,mandarin30,male,"[u'taipei,', u'taiwan']","mandarin
(cmn)",[u'none'],"[u'27,', u'male', u'']",13.0,academic,[u'usa'],1.0,  27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1519,mandarin31,female,"[u'zhejiang,', u'china']","mandarin
(cmn)",[u'none'],"[u'26,', u'female', u'']",13.0,academic,[u'usa'],2.5,  26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1527,mandarin32,female,"[u'taipei,', u'taiwan']","mandarin
(cmn)","[u'japanese', u'']","[u'23,', u'female', u'']",12.0,academic,[u'usa'],2.0,  23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1541,mandarin33,male,"[u'beijing,', u'china']","mandarin
(cmn)","[u'french', u'']","[u'25,', u'male', u'']",6.0,naturalistic,"[u'thailand,', u'australia,', u'usa']",20.0,  25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1578,mandarin34,female,"[u'hebei,', u'china']","mandarin
(cmn)","[u'japanese', u'']","[u'31,', u'female', u'']",13.0,academic,[u''],0.0,  31
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1579,mandarin35,female,"[u'shandong,', u'china']","mandarin
(cmn)","[u'japanese', u'']","[u'27,', u'female', u'']",12.0,academic,[u''],0.0,  27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1580,mandarin36,female,"[u'beijing,', u'china']","mandarin
(cmn)",[u'none'],"[u'32,', u'female', u'']",10.0,academic,[u''],0.0,  32
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1581,mandarin37,female,"[u'gu,', u'china']","mandarin
(cmn)",[u'none'],"[u'32,', u'female', u'']",12.0,academic,[u''],0.0,  32
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1582,mandarin38,female,"[u'hunan,', u'china']","mandarin
(cmn)",[u'none'],"[u'33,', u'female', u'']",12.0,academic,"[u'australia,', u'usa']",0.1,  33
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1583,mandarin39,female,"[u'liaoning,', u'china']","mandarin
(cmn)","[u'russian', u'']","[u'24,', u'female', u'']",12.0,academic,[u''],0.0,  24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1614,mandarin40,male,"[u'sichuan,', u'china']","mandarin
(cmn)","[u'japanese', u'thai', u'']","[u'28,', u'male', u'']",12.0,academic,"[u'singapore,', u'usa']",9.0,  28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1615,mandarin41,female,"[u'jilin,', u'china']","mandarin
(cmn)",[u'none'],"[u'34,', u'female', u'']",13.0,academic,[u''],0.0,  34
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1616,mandarin42,female,"[u'jilin,', u'china']","mandarin
(cmn)",[u'none'],"[u'47,', u'female', u'']",16.0,academic,[u''],0.0,  47
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1617,mandarin43,female,"[u'shanxi,', u'china']","mandarin
(cmn)",[u'none'],"[u'24,', u'female', u'']",15.0,academic,[u''],0.0,  24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1630,mandarin44,male,"[u'zhejiang,', u'china']","mandarin
(cmn)",[u'none'],"[u'21,', u'male', u'']",16.0,academic,[u'usa'],1.5,  21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1631,mandarin45,female,"[u'beijing,', u'china']","mandarin
(cmn)",[u'none'],"[u'42,', u'female', u'']",12.0,academic,"[u'usa,', u'australia']",0.1,  42
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1636,mandarin46,female,"[u'jilin,', u'china']","mandarin
(cmn)","[u'arabic', u'']","[u'43,', u'female', u'']",9.0,academic,[u''],0.0,  43
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1644,mandarin47,female,"[u'beijing,', u'china']","mandarin
(cmn)","[u'japanese', u'french', u'']","[u'28,', u'female', u'']",8.0,academic,[u''],0.0,  28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1645,mandarin48,male,"[u'henan,', u'china']","mandarin
(cmn)",[u'none'],"[u'37,', u'male', u'']",12.0,academic,[u''],0.0,  37
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1736,mandarin49,male,"[u'shanghai,', u'china']","mandarin
(cmn)","[u'french', u'']","[u'21,', u'male', u'']",10.0,academic,[u'australia'],2.5,  21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1788,mandarin50,male,"[u'hsinchu,', u'taiwan']","mandarin
(cmn)","[u'taiwanese', u'']","[u'25,', u'male', u'']",9.0,academic,[u'usa'],0.2,  25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1792,mandarin51,male,"[u'hebei,', u'china']","mandarin
(cmn)",[u'none'],"[u'25,', u'male', u'']",10.0,academic,[u'usa'],2.0,  25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1793,mandarin52,female,"[u'zhejiang,', u'china']","mandarin
(cmn)","[u'japanese', u'']","[u'26,', u'female', u'']",6.0,academic,[u'usa'],1.0,  26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1817,mandarin53,female,"[u'zhejiang,', u'china']","mandarin
(cmn)",[u'none'],"[u'38,', u'female', u'']",13.0,academic,[u'usa'],15.0,  38
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1900,mandarin54,female,"[u'sichuan,', u'china']","mandarin
(cmn)","[u'japanese', u'']","[u'25,', u'female', u'']",10.0,academic,[u'usa'],5.0,  25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1909,mandarin55,female,"[u'hunan,', u'china']","mandarin
(cmn)","[u'japanese', u'spanish', u'']","[u'25,', u'female', u'']",13.0,academic,[u'usa'],1.5,  25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1910,mandarin56,female,"[u'hebei,', u'china']","mandarin
(cmn)","[u'korean', u'thai', u'']","[u'26,', u'female', u'']",11.0,academic,[u'usa'],0.7,  26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1990,mandarin57,male,"[u'shanghai,', u'china']","mandarin
(cmn)","[u'cantonese', u'']","[u'20,', u'male', u'']",12.0,academic,[u'uk'],0.2,  20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2000,mandarin58,male,"[u'colorado,', u'usa']","mandarin
(cmn)","[u'french', u'']","[u'23,', u'male', u'']",7.0,naturalistic,[u'usa'],16.0,  23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2019,mandarin59,female,"[u'yunnan,', u'china']","mandarin
(cmn)",[u'none'],"[u'20,', u'female', u'']",6.0,academic,[u'usa'],0.4,  20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2109,mandarin60,female,"[u'guizhou,', u'china']","mandarin
(cmn)","[u'cantonese', u'']","[u'41,', u'female', u'']",13.0,academic,[u'usa'],15.0,  41
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2116,mandarin61,female,"[u'jiangxi,', u'china']","mandarin
(cmn)","[u'cantonese', u'']","[u'33,', u'female', u'']",16.0,academic,"[u'northern', u'mariana', u'islands']",17.0,  33
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2117,mandarin62,male,"[u'shanghai,', u'china']","mandarin
(cmn)","[u'spanish', u'']","[u'24,', u'male', u'']",7.0,academic,[u'usa'],5.5,  24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2119,mandarin63,male,"[u'henan,', u'china']","mandarin
(cmn)","[u'french', u'']","[u'27,', u'male', u'']",12.0,academic,[u'usa'],4.3,  27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2129,mandarin64,female,"[u'fujian,', u'china']","mandarin
(cmn)","[u'min', u'dong', u'']","[u'24,', u'female', u'']",10.0,academic,[u'usa'],5.0,  24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2173,mandarin65,female,"[u'hebei,', u'china']","mandarin
(cmn)","[u'french', u'']","[u'20,', u'female', u'']",5.0,academic,[u'usa'],1.7,  20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2252,mandarin66,female,"[u'shanghai,', u'china']","mandarin
(cmn)","[u'spanish', u'']","[u'22,', u'female', u'']",19.0,academic,[u'usa'],3.0,  22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2274,mandarin67,male,"[u'nanjing,', u'china']","mandarin
(cmn)",[u'none'],"[u'23,', u'male', u'']",13.0,academic,[u''],0.0,  23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2281,mandarin68,male,"[u'zhejiang,', u'china']","mandarin
(cmn)",[u'none'],"[u'23,', u'male', u'']",10.0,academic,[u''],0.0,  23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2282,mandarin69,male,"[u'jiangsu,', u'china']","mandarin
(cmn)","[u'german', u'']","[u'22,', u'male', u'']",12.0,academic,[u''],0.0,  22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2291,mandarin70,female,"[u'shanghai,', u'china']","mandarin
(cmn)","[u'japanese', u'']","[u'21,', u'female', u'']",8.0,academic,[u'usa'],2.0,  21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2294,mandarin71,female,"[u'sichuan,', u'china']","mandarin
(cmn)","[u'french', u'']","[u'20,', u'female', u'']",6.0,academic,[u'usa'],0.2,  20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2306,mandarin72,female,"[u'taichung,', u'taiwan']","mandarin
(cmn)","[u'taiwanese', u'']","[u'22,', u'female', u'']",10.0,academic,[u'usa'],10.0,  22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2319,mandarin73,female,"[u'sichuan,', u'china']","mandarin
(cmn)",[u'none'],"[u'27,', u'female', u'']",10.0,academic,[u'usa'],10.0,  27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2323,mandarin74,male,"[u'shenzhen,', u'china']","mandarin
(cmn)",[u'none'],"[u'19,', u'male', u'']",13.0,naturalistic,[u'usa'],4.0,  19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2332,mandarin75,male,"[u'taipei,', u'taiwan']","mandarin
(cmn)","[u'taiwanese', u'']","[u'20,', u'male', u'']",13.0,naturalistic,[u'usa'],6.5,  20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2348,mandarin76,male,"[u'henan,', u'china']","mandarin
(cmn)",[u'none'],"[u'29,', u'male', u'']",12.0,academic,[u'usa'],5.0,  29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2355,mandarin77,female,"[u'jiangsu,', u'china']","mandarin
(cmn)","[u'german', u'']","[u'20,', u'female', u'']",8.0,academic,[u''],0.0,  20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2360,mandarin78,female,"[u'jiangxi,', u'china']","mandarin
(cmn)","[u'japanese', u'korean', u'']","[u'20,', u'female', u'']",6.0,academic,[u''],0.0,  20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2365,mandarin79,female,"[u'bahru,', u'malaysia']","mandarin
(cmn)","[u'malay', u'hokkien', u'cantonese', u'korean', u'japanese', u'']","[u'19,', u'female', u'']",2.0,academic,[u'australia'],0.1,  19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2413,mandarin80,male,"[u'shanxi,', u'china']","mandarin
(cmn)",[u'none'],"[u'21,', u'male', u'']",10.0,academic,[u'usa'],1.0,  21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2414,mandarin81,female,"[u'jiangsu,', u'china']","mandarin
(cmn)",[u'none'],"[u'22,', u'female', u'']",10.0,academic,[u'usa'],0.1,  22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2418,mandarin82,female,"[u'wuhai,', u'china']","mandarin
(cmn)",[u'none'],"[u'23,', u'female', u'']",13.0,academic,[u'usa'],0.1,  23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2419,mandarin83,female,"[u'henan,', u'china']","mandarin
(cmn)",[u'none'],"[u'26,', u'female', u'']",12.0,academic,[u'usa'],1.0,  26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2420,mandarin84,female,"[u'henan,', u'china']","mandarin
(cmn)",[u'none'],"[u'24,', u'female', u'']",10.0,academic,[u'usa'],1.0,  24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2421,mandarin85,female,"[u'hunan,', u'china']","mandarin
(cmn)",[u'none'],"[u'23,', u'female', u'']",10.0,academic,[u'usa'],1.0,  23
